  2  -2  -2.0034315038E-06  -0.0000
  2  -1   4.5359824607E-07   0.0000
  2   0  -4.5594027199E-02  -0.0456
  2   1   1.9652387944E-05   0.0000
  2   2  -1.2040381953E-02  -0.0120
  4  -4  -4.4269346986E-07  -0.0000
  4  -3   2.0418877488E-08   0.0000
  4  -2  -3.5676637885E-08  -0.0000
  4  -1  -2.1278260541E-08  -0.0000
  4   0   1.6339873685E-03   0.0016
  4   1  -2.7952955759E-06  -0.0000
  4   2  -2.0281227291E-03  -0.0020
  4   3   4.9230744967E-06   0.0000
  4   4   1.3579882000E-02   0.0136
  6  -6   4.7998596197E-09   0.0000
  6  -5  -5.2046726024E-10  -0.0000
  6  -4  -7.2190522513E-09  -0.0000
  6  -3   2.2251865474E-10   0.0000
  6  -2  -2.3960147083E-10  -0.0000
  6  -1  -2.7819088038E-11  -0.0000
  6   0   3.6889653078E-07   0.0000
  6   1  -1.6265448393E-08  -0.0000
  6   2  -5.2997137184E-05  -0.0001
  6   3   1.2209977867E-07   0.0000
  6   4   2.7514041975E-04   0.0003
  6   5  -2.6637788894E-07  -0.0000
  6   6  -1.1232198459E-04  -0.0001
  8  -8  -3.9215688336E-13  -0.0000
  8  -7  -3.6104467330E-14  -0.0000
  8  -6  -6.5277304852E-13  -0.0000
  8  -5  -3.3972176241E-14  -0.0000
  8  -4  -3.4804118498E-13  -0.0000
  8  -3  -5.6185274770E-14  -0.0000
  8  -2   2.4280682016E-13   0.0000
  8  -1  -6.7130507935E-15  -0.0000
  8   0   1.9877193458E-10   0.0000
  8   1  -8.4868706312E-13  -0.0000
  8   2   3.1982785774E-09   0.0000
  8   3  -2.5940007582E-12  -0.0000
  8   4   1.4774647999E-09   0.0000
  8   5  -2.7120802492E-12  -0.0000
  8   6   8.9601315446E-10   0.0000
  8   7   6.3966316315E-12   0.0000
  8   8   7.2712839108E-09   0.0000
 10 -10   2.3980930541E-14   0.0000
 10  -9  -2.6747217808E-15  -0.0000
 10  -8  -1.1813099261E-14  -0.0000
 10  -7   1.1919136887E-15   0.0000
 10  -6  -3.8219590424E-15  -0.0000
 10  -5  -2.9170942090E-16  -0.0000
 10  -4  -1.0754673459E-14  -0.0000
 10  -3   2.4619645927E-16   0.0000
 10  -2  -1.8232687547E-16  -0.0000
 10  -1  -4.2423623878E-17  -0.0000
 10   0   7.9618696433E-14   0.0000
 10   1  -6.0168990553E-15  -0.0000
 10   2  -1.2410645817E-11  -0.0000
 10   3   1.0758379981E-13   0.0000
 10   4   1.2047312244E-10   0.0000
 10   5  -8.1070317530E-15  -0.0000
 10   6   2.9785364796E-11   0.0000
 10   7   1.0944984991E-13   0.0000
 10   8   2.7257174973E-10   0.0000
 10   9  -6.0557441766E-13  -0.0000
 10  10  -3.1702137422E-10  -0.0000
 12 -12  -3.4104714315E-16  -0.0000
 12 -11   6.4241494867E-17   0.0000
 12 -10   5.8901707941E-17   0.0000
 12  -9   1.8733387715E-17   0.0000
 12  -8  -3.8709535446E-16  -0.0000
 12  -7   2.1797535517E-18   0.0000
 12  -6  -5.3151146667E-18  -0.0000
 12  -5  -1.0375404172E-17  -0.0000
 12  -4  -6.1569899035E-18  -0.0000
 12  -3   4.0988403740E-19   0.0000
 12  -2   2.6970989004E-18   0.0000
 12  -1   1.2342437535E-20   0.0000
 12   0   2.4449674314E-15   0.0000
 12   1  -4.1881164219E-17  -0.0000
 12   2  -2.1599775063E-13  -0.0000
 12   3   1.1229936443E-16   0.0000
 12   4   3.5593128694E-14   0.0000
 12   5  -1.2221976499E-15  -0.0000
 12   6  -2.7427955181E-13  -0.0000
 12   7   6.3875647280E-15   0.0000
 12   8   7.0993249328E-12   0.0000
 12   9  -7.1731247569E-15  -0.0000
 12  10   5.6563934167E-14   0.0000
 12  11   2.0277143790E-15   0.0000
 12  12   4.4785198946E-12   0.0000
